customer_id,age,income,tenure_years,support_calls,monthly_spend,contract_type,has_auto_pay,churn
CUST-00070,46,76465.37,2,4,61.5,One year,0,0
CUST-00071,43,74445.87,10,1,61.28,Month-to-month,1,0
CUST-00072,37,27351.87,5,3,82.66,Two year,0,0
CUST-00073,66,31838.22,5,1,92.37,Two year,1,0
CUST-00074,28,97576.85,3,2,51.49,Two year,1,0
CUST-00075,59,90894.9,12,2,61.86,Two year,1,0
CUST-00076,26,18000.0,5,1,76.59,Month-to-month,1,0
CUST-00077,42,105333.24,0,5,94.14,Month-to-month,1,0
CUST-00078,51,83401.17,1,3,116.3,Two year,1,0
CUST-00079,33,78778.31,3,3,90.74,Month-to-month,0,0
CUST-00080,32,30460.34,8,5,98.66,Month-to-month,1,0
CUST-00081,26,64533.2,4,4,42.58,Month-to-month,1,0
CUST-00082,18,40193.8,6,1,87.69,Month-to-month,1,0
CUST-00083,31,76300.04,2,1,79.5,Two year,1,0
CUST-00084,28,153957.8,4,1,67.82,Two year,1,0
CUST-00085,51,79772.31,9,1,92.68,Two year,1,0
CUST-00086,65,98069.12,10,3,41.05,Month-to-month,0,0
CUST-00087,19,47334.73,2,4,77.34,One year,1,0
CUST-00088,55,32071.99,14,2,34.44,Month-to-month,1,0
CUST-00089,38,56658.0,9,0,78.99,Month-to-month,0,1
CUST-00090,48,99393.58,6,1,85.18,Two year,1,0
CUST-00091,68,126032.4,5,5,111.99,Month-to-month,0,0
CUST-00092,38,54485.84,5,0,84.11,Month-to-month,1,0
CUST-00093,24,64728.17,10,3,60.52,Month-to-month,1,0
CUST-00094,60,45262.16,11,1,64.36,Two year,1,0
CUST-00095,64,21941.61,13,2,130.57,Month-to-month,0,0
CUST-00096,31,59082.76,12,3,98.78,One year,1,0
CUST-00097,48,68227.62,2,2,86.49,Month-to-month,1,0
CUST-00098,50,44911.67,4,2,81.57,One year,1,0
CUST-00099,24,51291.25,7,1,106.14,Two year,1,0
CUST-00100,18,20988.76,6,3,36.81,Two year,1,0
CUST-00101,19,58197.21,4,0,82.0,Two year,1,0
CUST-00102,51,120488.87,1,3,78.38,One year,1,0
CUST-00103,50,55706.3,6,0,113.85,Two year,1,0
CUST-00104,68,78251.93,12,1,57.82,One year,1,0
CUST-00105,49,72000.14,15,1,68.21,Two year,1,0
CUST-00106,54,37229.61,8,2,127.27,One year,1,0
CUST-00107,42,63322.52,7,5,119.79,Month-to-month,0,1
CUST-00108,21,35995.62,13,2,34.81,Two year,0,0
CUST-00109,35,220000.0,14,3,63.71,Month-to-month,1,0
CUST-00110,48,63179.55,7,3,99.35,Two year,1,0
CUST-00111,53,31035.91,13,1,100.22,One year,0,0
CUST-00112,34,24296.94,5,0,57.52,One year,1,0
CUST-00113,24,128002.71,0,2,54.73,Month-to-month,0,0
CUST-00114,65,79061.2,14,3,125.55,Month-to-month,1,0
CUST-00115,29,70157.28,8,2,96.87,Two year,0,0
CUST-00116,18,26719.92,0,2,101.75,Month-to-month,1,0
CUST-00117,39,41425.23,0,0,70.76,Month-to-month,1,0
CUST-00118,18,28969.01,6,3,67.91,Two year,1,0
CUST-00119,52,103096.86,4,1,,One year,1,0
CUST-00120,23,42300.77,8,4,103.9,One year,1,0
CUST-00121,34,162424.84,2,1,89.13,Month-to-month,0,0
CUST-00122,35,74986.12,6,3,112.5,Month-to-month,1,1
CUST-00123,55,47260.33,4,2,84.01,Month-to-month,1,0
CUST-00124,63,117749.49,11,2,44.02,Month-to-month,0,0
CUST-00125,53,18000.0,1,1,91.8,Two year,1,0
CUST-00126,47,35700.69,12,3,71.91,One year,1,0
CUST-00127,29,45228.42,9,1,104.67,Month-to-month,1,0
CUST-00128,52,101393.67,11,2,93.48,Month-to-month,1,0
CUST-00129,56,101829.29,3,1,70.77,One year,0,0
CUST-00130,20,68564.99,5,1,114.19,One year,1,0
CUST-00131,48,21267.28,15,4,93.23,One year,1,0
CUST-00132,27,42173.25,8,1,100.88,Two year,1,0
CUST-00133,22,30763.63,11,4,85.03,Month-to-month,0,0
CUST-00134,37,111912.5,2,2,93.47,Month-to-month,1,0
CUST-00135,59,44252.3,8,3,92.66,One year,1,0
CUST-00136,50,77907.07,0,1,79.93,One year,1,0
CUST-00137,64,156241.68,10,2,80.62,Month-to-month,1,0
CUST-00138,57,54119.26,0,1,91.16,Month-to-month,0,0
CUST-00139,35,82751.01,8,2,114.45,Month-to-month,0,0
CUST-00140,47,45661.73,12,2,90.9,One year,1,0
CUST-00141,33,57854.87,0,1,26.39,One year,1,0
CUST-00142,32,57708.99,8,1,55.7,Month-to-month,0,0
CUST-00143,52,56840.14,8,1,39.81,Two year,0,0
CUST-00144,27,58546.67,8,0,52.34,One year,0,0
CUST-00145,39,45416.01,12,5,80.4,Month-to-month,1,0
CUST-00146,39,157294.89,10,2,,One year,0,0
CUST-00147,44,39466.31,7,4,88.6,Two year,0,0
CUST-00148,31,64543.07,10,6,42.89,Month-to-month,1,0
CUST-00149,30,47869.14,13,0,67.25,Month-to-month,1,0
CUST-00150,57,18000.0,10,1,46.19,Month-to-month,1,0
CUST-00151,43,96070.09,15,2,72.57,One year,1,0
CUST-00152,64,63924.88,7,4,96.71,One year,0,0
CUST-00153,42,26451.59,15,4,42.23,Month-to-month,0,0
CUST-00154,59,37702.79,12,4,78.97,Two year,0,0
CUST-00155,59,23171.72,9,2,105.74,Month-to-month,0,0
CUST-00156,24,65746.59,2,2,95.75,Month-to-month,1,0
CUST-00157,60,132524.99,10,1,66.43,Month-to-month,1,0
CUST-00158,58,109682.3,10,2,77.82,One year,1,0
CUST-00159,50,27566.57,2,3,66.51,One year,1,0
CUST-00160,18,21764.6,5,5,117.08,,1,0
CUST-00161,62,74970.3,6,1,89.79,One year,1,0
CUST-00162,25,141497.22,1,2,117.01,Month-to-month,0,0
CUST-00163,64,57611.66,8,1,53.35,Month-to-month,1,0
CUST-00164,54,99757.1,11,2,120.82,One year,0,0
CUST-00165,36,26011.91,2,4,65.04,Two year,1,1
CUST-00166,34,52631.8,14,1,84.74,Month-to-month,1,0
CUST-00167,46,71274.15,9,2,112.59,Month-to-month,0,0
CUST-00168,61,44592.5,2,2,74.76,Two year,1,0
CUST-00169,34,49332.21,7,1,92.89,Month-to-month,1,0
CUST-00170,53,81359.58,1,4,67.13,Month-to-month,0,0
CUST-00171,38,39609.52,14,4,100.95,One year,1,0
CUST-00172,51,32322.25,8,1,81.1,One year,1,0
CUST-00173,52,84103.72,2,1,116.63,Two year,1,0
CUST-00174,49,63747.8,7,1,85.62,Month-to-month,1,0
CUST-00175,29,32231.51,12,2,89.63,Two year,0,0
CUST-00176,65,70727.58,1,1,61.27,Month-to-month,0,0
CUST-00177,47,40921.11,15,5,59.77,Month-to-month,0,0
CUST-00178,61,79184.43,3,1,67.77,Month-to-month,0,1
CUST-00179,38,55425.77,7,3,96.11,One year,0,0
CUST-00180,19,47557.76,8,3,111.98,Month-to-month,1,0
CUST-00181,67,36393.43,15,4,145.48,One year,1,0
CUST-00182,69,62201.19,2,3,,One year,0,0
CUST-00183,56,54264.14,12,2,71.73,One year,1,0
CUST-00184,40,157521.17,9,0,69.47,Month-to-month,0,0
CUST-00185,50,54303.05,11,2,103.46,Month-to-month,1,0
CUST-00186,33,26514.09,1,1,91.67,Two year,0,1
CUST-00187,29,173608.38,11,2,94.3,One year,1,0
CUST-00188,63,18130.4,10,3,136.29,Month-to-month,1,0
CUST-00189,29,137890.95,5,2,83.32,Month-to-month,1,0
CUST-00190,65,34595.78,10,2,65.87,Two year,1,0
CUST-00191,49,119299.36,1,2,83.91,Month-to-month,1,0
CUST-00192,58,50200.86,12,3,60.28,One year,1,0
CUST-00193,27,74881.95,3,3,116.22,Two year,0,0
CUST-00194,55,56458.82,14,1,85.07,Month-to-month,1,0
CUST-00195,55,52246.12,12,3,80.21,One year,1,0
CUST-00196,18,73912.28,15,2,107.09,One year,1,0
CUST-00197,67,38970.23,1,4,86.64,Month-to-month,1,0
CUST-00198,32,72146.93,12,0,70.54,One year,1,0
CUST-00199,56,30603.79,3,0,63.21,One year,1,0
CUST-00200,60,37072.59,9,3,111.26,Month-to-month,1,0
CUST-00201,33,41909.72,12,1,97.67,Month-to-month,1,0
CUST-00202,69,52465.11,11,1,111.55,Month-to-month,1,0
CUST-00203,37,108063.05,15,2,94.32,Month-to-month,0,0
CUST-00204,32,34958.76,8,2,113.29,Month-to-month,1,0
CUST-00205,50,34488.72,10,3,56.08,Month-to-month,1,0
CUST-00206,57,29819.4,11,4,68.62,Month-to-month,0,0
CUST-00207,65,,9,2,80.47,Two year,1,0
CUST-00208,23,75311.63,9,3,76.46,Month-to-month,1,0
CUST-00209,20,36661.62,12,5,65.5,Month-to-month,1,0
CUST-00210,56,47023.57,9,2,85.06,One year,0,0
CUST-00211,66,39964.75,15,3,110.01,Month-to-month,1,0
CUST-00212,36,57838.23,1,1,139.32,Month-to-month,0,1
CUST-00213,19,18234.19,0,2,84.48,One year,0,0
CUST-00214,22,76527.01,12,0,104.44,Two year,1,0
CUST-00215,22,91777.51,1,5,45.76,Month-to-month,1,0
CUST-00216,27,34854.3,3,3,41.97,Two year,1,0
CUST-00217,31,53110.73,10,1,122.82,Month-to-month,1,0
CUST-00218,47,33472.46,12,1,88.25,One year,0,0
CUST-00219,27,95728.87,2,1,69.83,Month-to-month,1,0
CUST-00220,42,78119.94,14,0,81.72,Month-to-month,1,0
CUST-00221,68,220000.0,15,2,,Two year,1,0
CUST-00222,53,49276.46,7,1,104.02,Month-to-month,0,0
CUST-00223,19,34135.14,12,1,47.52,Month-to-month,1,0
CUST-00224,36,42454.92,11,1,92.44,Month-to-month,1,0
CUST-00225,54,27697.97,10,2,89.87,Two year,0,0
CUST-00226,49,62050.58,0,3,74.12,One year,1,0
CUST-00227,34,65622.47,2,4,103.81,One year,1,0
CUST-00228,37,92038.34,13,1,48.58,Month-to-month,1,0
CUST-00229,33,69206.58,10,0,86.74,Month-to-month,1,0
CUST-00230,57,44159.16,4,6,117.05,One year,1,0
CUST-00231,61,112978.35,12,0,90.28,Month-to-month,1,1
CUST-00232,18,76359.96,1,7,101.45,Month-to-month,0,0
CUST-00233,59,87724.51,7,3,84.32,Two year,1,0
CUST-00234,48,29181.04,6,1,91.12,Month-to-month,1,0
CUST-00235,45,35128.7,5,5,79.52,Month-to-month,1,0
CUST-00236,48,39089.22,2,2,45.72,Two year,0,0
CUST-00237,33,44860.19,1,6,63.69,Two year,1,0
CUST-00238,21,18000.0,5,4,92.2,Month-to-month,0,0
CUST-00239,31,107934.29,14,2,86.34,Month-to-month,1,0
CUST-00240,57,49679.4,3,4,99.19,One year,0,0
CUST-00241,59,88994.79,3,4,75.17,One year,1,0
CUST-00242,50,85494.99,14,4,99.37,Two year,1,0
CUST-00243,48,127260.66,11,3,124.56,Month-to-month,0,0
CUST-00244,67,76752.23,14,1,74.91,One year,1,0
CUST-00245,54,68942.71,6,4,83.51,Month-to-month,1,1
CUST-00246,27,37362.48,7,1,100.13,Month-to-month,1,0
CUST-00247,53,60157.32,0,2,119.3,One year,1,1
CUST-00248,40,147752.34,10,5,93.21,Two year,0,0
CUST-00249,39,21382.0,2,0,102.66,One year,0,0
CUST-00250,62,38276.0,3,1,85.6,One year,0,0
CUST-00251,69,65715.76,13,4,93.81,Two year,1,1
CUST-00252,67,137563.6,8,1,110.39,Month-to-month,0,0
CUST-00253,36,30969.84,5,3,89.94,Month-to-month,1,0
CUST-00254,53,44267.46,13,4,106.97,Month-to-month,1,0
CUST-00255,41,61791.88,13,3,93.13,Month-to-month,1,0
CUST-00256,36,220000.0,2,3,60.11,One year,1,0
CUST-00257,54,35367.32,15,1,76.33,Month-to-month,0,0
CUST-00258,56,52331.41,7,1,72.05,Two year,1,0
CUST-00259,42,85975.07,13,1,94.88,Month-to-month,0,0
CUST-00260,41,38800.49,1,6,77.14,Month-to-month,1,1
CUST-00261,52,70751.6,7,2,72.7,Two year,1,0
CUST-00262,45,71896.58,1,7,105.41,One year,1,0
CUST-00263,57,47038.18,15,2,106.47,Two year,0,0
CUST-00264,53,69641.01,4,6,80.53,Two year,1,0
CUST-00265,19,148194.79,15,3,121.84,Two year,1,0
CUST-00266,66,61637.63,1,2,,Month-to-month,1,0
CUST-00267,64,45542.43,11,2,102.76,One year,0,0
CUST-00268,18,38207.39,14,3,68.92,Two year,0,0
CUST-00269,37,65478.11,4,1,74.75,Month-to-month,0,1
CUST-00270,54,102128.44,11,1,121.42,Month-to-month,1,0
CUST-00271,21,62607.93,0,1,99.64,Month-to-month,1,0
CUST-00272,65,68537.91,1,2,68.3,Two year,1,0
CUST-00273,31,220000.0,6,6,88.04,Month-to-month,1,1
CUST-00274,37,38016.44,10,6,101.48,Month-to-month,1,0
CUST-00275,19,31972.04,7,6,111.0,Month-to-month,1,0
CUST-00276,30,67261.74,15,0,96.11,One year,0,0
CUST-00277,20,51417.66,9,4,75.49,One year,1,0
CUST-00278,47,79326.72,6,1,102.09,Month-to-month,1,1
CUST-00279,69,114384.55,13,3,43.51,One year,0,0
CUST-00280,19,70483.96,5,1,104.86,One year,0,0
CUST-00281,49,51976.42,3,2,49.57,Month-to-month,1,0
CUST-00282,59,77000.0,11,3,63.46,Month-to-month,1,0
CUST-00283,58,75526.12,4,4,54.59,Month-to-month,1,0
CUST-00284,43,55064.41,15,3,85.55,Month-to-month,1,0
CUST-00285,28,42215.92,14,1,36.93,Two year,1,0
CUST-00286,52,83558.0,9,1,39.68,Month-to-month,1,0
CUST-00287,38,51825.48,9,1,113.61,Month-to-month,0,1
CUST-00288,58,30839.03,6,0,78.72,One year,1,0
CUST-00289,45,84123.43,6,3,125.32,One year,1,0
CUST-00290,19,43449.64,2,3,54.42,Month-to-month,0,0
CUST-00291,60,42977.04,10,2,42.29,Month-to-month,0,0
CUST-00292,27,82560.69,3,3,47.45,Month-to-month,0,0
CUST-00293,47,37543.98,3,3,98.56,One year,1,0
CUST-00294,39,52362.48,3,4,113.26,Two year,1,0
CUST-00295,23,33625.57,8,2,84.11,Two year,1,1
CUST-00296,49,24919.12,15,3,93.2,Month-to-month,1,0
CUST-00297,65,67643.14,15,1,118.13,Two year,1,0
CUST-00298,37,135355.54,12,7,134.23,Month-to-month,0,0
CUST-00299,45,35606.58,10,3,69.64,Two year,0,0
CUST-00300,32,108925.29,0,2,56.63,Month-to-month,0,1
CUST-00301,36,103295.4,2,5,124.14,Month-to-month,0,1
CUST-00302,19,131454.92,0,1,101.87,Month-to-month,0,1
CUST-00303,56,31941.2,11,3,90.47,One year,1,0
CUST-00304,40,40168.85,1,2,83.57,Month-to-month,1,0
CUST-00305,39,141958.61,13,2,72.22,Month-to-month,1,0
CUST-00306,66,55916.72,5,1,39.18,Month-to-month,0,0
CUST-00307,38,57314.07,7,3,61.91,One year,1,0
CUST-00308,19,85008.5,9,1,94.16,One year,1,0
CUST-00309,55,,4,5,91.35,Month-to-month,1,1
CUST-00310,49,42712.45,14,0,71.17,Month-to-month,1,0
CUST-00311,43,51406.43,3,1,50.38,One year,0,1
CUST-00312,28,82013.02,6,2,91.47,Month-to-month,0,0
CUST-00313,56,67015.96,7,0,72.33,Two year,0,0
CUST-00314,68,38792.23,2,1,80.15,One year,1,0
CUST-00315,34,116779.25,2,1,93.7,Two year,0,0
CUST-00316,59,,14,0,92.64,Month-to-month,1,0
CUST-00317,41,48693.46,5,1,102.9,One year,1,0
CUST-00318,29,42864.53,9,0,68.12,Month-to-month,1,0
CUST-00319,33,96258.96,14,3,91.59,One year,0,0
CUST-00320,68,18000.0,0,4,89.54,Month-to-month,1,0
CUST-00321,25,61594.05,13,3,98.27,Month-to-month,0,0
CUST-00322,34,41971.54,2,1,86.74,Two year,1,0
CUST-00323,25,40146.95,5,2,90.37,Month-to-month,1,0
CUST-00324,53,94464.88,15,3,61.62,Month-to-month,1,0
CUST-00325,39,68867.48,10,3,35.38,Month-to-month,1,0
CUST-00326,31,220000.0,14,2,65.11,Two year,0,0
CUST-00327,24,51880.14,12,2,49.27,One year,1,0
CUST-00328,33,71490.56,11,2,88.43,Two year,1,0
CUST-00329,35,27158.45,9,1,88.93,One year,1,0
CUST-00330,21,101888.89,0,1,128.94,One year,0,0
CUST-00331,26,42313.74,8,1,72.14,Month-to-month,0,0
CUST-00332,33,66202.72,12,4,86.78,Two year,1,0
CUST-00333,50,119585.05,6,4,79.25,Month-to-month,1,1
CUST-00334,39,112413.22,4,3,34.52,Month-to-month,0,0
CUST-00335,59,77016.03,13,3,110.72,Two year,0,0
CUST-00336,19,118744.79,13,2,98.94,Month-to-month,0,0
CUST-00337,33,46144.47,14,1,39.68,One year,1,0
CUST-00338,18,35313.14,0,2,116.0,One year,1,1
CUST-00339,22,25558.29,1,2,55.65,One year,1,0
CUST-00340,18,79891.44,5,0,116.16,Month-to-month,0,0
CUST-00341,48,173047.72,14,0,74.68,Two year,0,0
CUST-00342,63,49261.38,7,4,53.51,Month-to-month,1,0
CUST-00343,50,59177.85,7,1,51.7,Two year,0,0
CUST-00344,39,49492.48,12,0,104.86,One year,1,0
CUST-00345,32,76778.11,14,0,97.89,One year,1,0
CUST-00346,65,21606.27,7,1,85.78,Month-to-month,1,1
CUST-00347,53,93978.91,6,3,76.67,Month-to-month,1,0
CUST-00348,42,106316.16,7,1,123.24,Two year,1,0
CUST-00349,58,40436.92,3,3,36.68,Month-to-month,0,0
CUST-00350,47,33768.31,13,2,55.3,One year,1,0
CUST-00351,22,36212.4,15,2,77.53,Month-to-month,1,0
CUST-00352,37,79487.67,4,1,83.51,Month-to-month,0,0
CUST-00353,64,129804.73,14,3,87.41,Two year,1,0
CUST-00354,58,33989.82,5,1,106.39,Month-to-month,0,0
CUST-00355,22,25126.41,2,0,89.33,Month-to-month,1,0
CUST-00356,35,61990.29,9,2,79.23,Two year,1,0
CUST-00357,65,67819.73,3,2,102.39,Two year,0,0
CUST-00358,60,86359.21,7,4,85.21,Month-to-month,1,0
CUST-00359,22,39995.38,12,2,45.86,Two year,1,0
CUST-00360,38,87408.04,7,3,92.52,One year,1,1
CUST-00361,24,106843.63,10,0,47.48,Month-to-month,1,1
CUST-00362,24,23758.47,3,3,62.4,Month-to-month,0,0
CUST-00363,29,49518.26,4,3,89.37,Month-to-month,0,0
CUST-00364,39,81560.32,6,4,50.25,One year,1,1
CUST-00365,37,88644.57,6,4,96.25,Month-to-month,1,0
CUST-00366,19,42923.16,1,1,113.15,Month-to-month,0,0
CUST-00367,51,19973.52,0,2,112.75,One year,1,0
CUST-00368,38,37784.64,8,5,90.24,Month-to-month,1,1
CUST-00369,35,26495.26,12,6,94.88,One year,0,0
CUST-00370,38,43374.79,11,2,100.46,Month-to-month,1,0
CUST-00371,29,101572.64,10,2,97.12,One year,1,0
CUST-00372,54,40749.58,3,2,85.93,Month-to-month,0,0
CUST-00373,44,60351.46,4,0,95.42,Two year,1,0
CUST-00374,69,29622.99,2,0,73.29,Month-to-month,1,0
CUST-00375,66,95851.85,13,5,89.54,Two year,1,0
CUST-00376,26,40737.41,10,4,121.42,Month-to-month,0,0
CUST-00377,28,32370.02,7,0,71.23,Month-to-month,1,0
CUST-00378,49,160073.59,14,2,84.58,Month-to-month,1,0
CUST-00379,43,69005.67,9,2,57.69,One year,0,0
CUST-00380,61,83492.5,2,0,47.6,Month-to-month,1,0
CUST-00381,50,19172.77,4,3,99.65,Month-to-month,1,0
CUST-00382,53,125361.75,14,0,31.94,Month-to-month,1,0
CUST-00383,38,147227.0,8,1,110.96,Month-to-month,0,1
CUST-00384,30,53144.95,14,1,66.71,Month-to-month,0,0
CUST-00385,31,48562.51,5,4,101.07,Two year,0,1
CUST-00386,39,41575.18,12,4,74.7,Two year,1,0
CUST-00387,46,103332.99,2,1,76.05,Month-to-month,0,0
CUST-00388,66,24152.65,12,3,99.57,Two year,1,0
CUST-00389,58,68366.84,11,1,73.0,Month-to-month,0,0
CUST-00390,45,171094.79,4,2,94.17,Month-to-month,1,0
CUST-00391,54,61586.11,7,2,27.25,Month-to-month,1,0
CUST-00392,53,168788.91,10,3,37.05,Month-to-month,0,0
CUST-00393,24,57868.81,13,2,110.14,One year,1,0
CUST-00394,34,48320.97,4,0,61.49,One year,1,0
CUST-00395,53,94261.3,2,4,81.66,Month-to-month,1,0
CUST-00396,59,54833.3,0,0,133.04,One year,1,0
CUST-00397,25,60294.23,15,6,46.65,Month-to-month,0,0
CUST-00398,47,45712.39,14,2,84.45,Two year,1,0
CUST-00399,52,29404.83,3,0,65.08,Month-to-month,1,0
CUST-00400,58,48180.83,5,2,107.5,Month-to-month,1,0
CUST-00401,67,84128.17,11,5,98.6,Two year,1,0
CUST-00402,32,103264.8,14,1,74.02,Two year,1,0
CUST-00403,26,54868.71,3,4,126.78,Two year,0,0
CUST-00404,30,67591.66,7,2,98.12,Two year,1,0
CUST-00405,68,34269.09,7,2,55.22,Month-to-month,0,0
CUST-00406,27,51806.94,1,1,112.75,One year,1,1
CUST-00407,35,52427.51,0,5,60.7,Month-to-month,0,1
CUST-00408,48,52970.92,12,4,119.7,Month-to-month,0,0
CUST-00409,36,59060.03,4,3,128.55,One year,1,0
CUST-00410,22,69352.46,11,0,52.04,Two year,1,0
CUST-00411,26,111683.79,7,2,94.36,Month-to-month,1,0
CUST-00412,35,87267.73,15,1,65.79,One year,1,0
CUST-00413,63,75860.58,2,5,65.14,Month-to-month,0,1
CUST-00414,52,29297.09,11,0,85.08,Month-to-month,0,0
CUST-00415,28,36746.18,5,5,94.49,Month-to-month,1,0
CUST-00416,32,58718.84,14,3,133.52,Month-to-month,1,0
CUST-00417,67,60523.31,1,3,83.56,One year,1,0
CUST-00418,31,85475.68,8,3,90.23,Month-to-month,1,1
CUST-00419,31,21819.51,10,4,39.85,Two year,0,0
CUST-00420,30,63176.29,2,2,100.91,Month-to-month,1,0
CUST-00421,23,61350.44,4,2,94.32,Two year,1,0
CUST-00422,42,47639.11,15,2,81.28,Two year,1,0
CUST-00423,64,37135.25,9,1,86.25,Two year,1,1
CUST-00424,57,64886.13,2,3,37.27,Two year,1,0
CUST-00425,51,52553.42,11,1,101.8,Month-to-month,0,0
CUST-00426,31,,8,3,84.8,Two year,1,0
CUST-00427,56,19086.76,5,2,80.95,Month-to-month,1,0
CUST-00428,45,34959.44,0,8,94.34,Two year,1,0
CUST-00429,50,132386.16,15,3,76.55,Two year,0,0
CUST-00430,69,65021.46,5,3,83.76,Two year,1,0
CUST-00431,65,37610.64,9,2,77.1,Month-to-month,0,0
CUST-00432,44,48236.52,1,4,115.9,Month-to-month,1,0
CUST-00433,50,28275.3,8,0,54.91,Month-to-month,1,0
CUST-00434,32,125411.72,0,4,110.12,One year,0,1
CUST-00435,51,125986.22,1,6,130.32,Two year,1,0
CUST-00436,61,93403.94,15,2,86.43,Month-to-month,1,1
CUST-00437,25,111377.2,13,2,95.12,Month-to-month,0,0
CUST-00438,65,74522.25,9,3,120.71,One year,1,0
CUST-00439,18,118622.07,8,2,69.3,Month-to-month,1,0
CUST-00440,56,81699.7,3,1,72.59,One year,1,0
CUST-00441,31,125155.78,7,1,70.99,Month-to-month,1,0
CUST-00442,34,57135.27,4,1,103.41,Month-to-month,0,1
CUST-00443,37,55232.44,4,1,113.41,Two year,0,0
CUST-00444,44,42643.15,11,2,114.3,One year,0,0
CUST-00445,50,44864.56,14,1,92.29,Month-to-month,1,0
CUST-00446,34,24513.02,3,2,74.05,Two year,1,0
